"Model","Duration","Dose","Dataset","Platform","Gene","Value","Value.adj","High Quality"
"Bt474","4d","","GSE54329","MicroArray","S100A9","2.621","15.279","True"
"Zr751","4d","","GSE54329","MicroArray","MT1X","2.605","15.244","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","IFITM1","5.474","15.145","True"
"Zr751","4d","","GSE54329","MicroArray","ADM","2.588","15.143","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","NNMT","4.633","15.006","True"
"Bt483","6d","","GSE54329","MicroArray","S100A8","4.463","14.944","True"
"Bt483","6d","","GSE54329","MicroArray","BPIFB1","4.448","14.892","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","TRNP1","4.646","14.867","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","PDZK1IP1","4.537","14.830","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","ID1","1.362","14.811","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","PENK","-3.304","-14.787","False"
"Zr751","5d","","GSE54329","MicroArray","HLA-DRA","3.393","14.767","True"
"Zr751","5d","","GSE54329","MicroArray","CP","3.386","14.738","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","IGFBP3","3.092","14.697","True"
"Bt474","5d","","GSE54329","MicroArray","S100A8","2.451","14.406","True"
"Macrophage","","","GSE123603","RNASeq","ENPP2","2.419","14.389","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","ANXA3","1.983","14.368","True"
"T Cd4","3d","","GSE65621","RNASeq","COL6A3","2.747","14.301","True"
"T47D","6d","","GSE54329","MicroArray","C3","2.290","14.221","True"
"Hep3B","","","E-MTAB-4570","MicroArray","FGG","2.921","14.117","True"
"Hepg2","","","E-MTAB-4570","MicroArray","LBP","3.118","14.080","True"
"Bt483","6d","","GSE54329","MicroArray","AKR1C1","4.192","14.036","True"
"Hcc1428","4d","","GSE54329","MicroArray","AKR1C1","2.322","14.012","True"
"Hmec1","","","GSE19082","MicroArray","C2CD4B","1.171","13.810","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","TMEM176A","-3.059","-13.692","False"
"T47D","5d","","GSE54329","MicroArray","IFITM1","3.212","13.664","True"
"Hep3B","","","E-MTAB-4570","MicroArray","C4A","2.826","13.658","True"
"Efm19","4d","","GSE54329","MicroArray","IFITM1","1.915","13.646","True"
"T47D","6d","","GSE54329","MicroArray","HLA-DRA","2.197","13.645","True"
"Macrophage","","","GSE123603","RNASeq","JAK3","2.269","13.495","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","TEAD3","6.218","13.429","True"
"Zr751","5d","","GSE54329","MicroArray","HPGD","3.073","13.378","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SPP1","2.738","13.233","True"
"Zr751","5d","","GSE54329","MicroArray","UBE2L6","3.038","13.225","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","SBSPON","-2.944","-13.176","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","PDZK1IP1","4.741","13.116","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","S100A7","3.996","13.063","True"
"Hep3B","","","E-MTAB-4570","MicroArray","LBP","2.696","13.030","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","PDZK1IP1","4.550","12.979","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","RRM2","-2.497","-12.978","False"
"Hmec1","","","GSE19082","MicroArray","CCL2","1.097","12.927","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","MT1X","2.459","12.921","False"
"T47D","6d","","GSE54329","MicroArray","TFF3","-2.077","-12.902","True"
"Bt474","4d","","GSE54329","MicroArray","SERPINA3","2.203","12.843","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","CD55","-2.700","-12.836","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","LCN2","4.004","12.813","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HPR","2.649","12.803","True"
"Hep3B","","","E-MTAB-4570","MicroArray","CFB","2.647","12.795","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","C3","3.934","12.744","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","ID3","2.680","12.741","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","ETV3","2.365","12.722","False"
"T Cd4","3d","","GSE65621","RNASeq","GZMB","2.443","12.720","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","MMP10","-2.675","-12.715","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","MT1E","2.412","12.672","False"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","SLC6A14","-2.408","-12.652","False"
"T Cd4","3d","","GSE65621","RNASeq","IL26","2.422","12.613","True"
"Bt483","6d","","GSE54329","MicroArray","S100A9","3.753","12.565","True"
"Bt483","5d","","GSE54329","MicroArray","S100A8","3.992","12.561","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","C3","3.924","12.557","True"
"Zr751","4d","","GSE54329","MicroArray","ANGPTL4","2.135","12.493","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","CPXM2","2.774","12.415","False"
"Zr751","5d","","GSE54329","MicroArray","CATSPERB","2.845","12.382","True"
"Bt483","5d","","GSE54329","MicroArray","BPIFB1","3.935","12.379","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","CDH13","2.765","12.375","False"
"Bt483","5d","","GSE54329","MicroArray","AKR1C1","3.927","12.355","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","TUBB3","3.859","12.351","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","RNF183","3.858","12.347","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","TYMS","-2.375","-12.345","False"
"Multiple Myeloma","12h","10ng/mL","GSE115558","MicroArray","SOCS3","5.660","12.226","False"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","SHROOM3","5.650","12.202","True"
"Hmec1","","","GSE19082","MicroArray","ZFP36","1.035","12.200","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","CFB","3.729","12.188","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","C3","3.724","12.173","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SLC34A2","2.515","12.158","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","IFITM1","3.793","12.138","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","CFB","3.743","12.123","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","WNT5A","2.550","12.120","True"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","S100A9","2.182","12.041","True"
"Huh7","","","E-MTAB-4570","MicroArray","CFI","3.061","12.037","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","CPB1","2.523","11.994","True"
"Hep3B","","","E-MTAB-4570","MicroArray","OSMR","2.467","11.924","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","SERPINA3","4.173","11.905","True"
"Efm19","5d","","GSE54329","MicroArray","S100A9","2.600","11.899","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SERPINA7","2.452","11.853","True"
"Hepg2","","","E-MTAB-4570","MicroArray","MATN3","2.619","11.824","True"
"Mda-Mb134Vi","4d","","GSE54329","MicroArray","CCN2","-2.380","-11.795","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","MT1F","2.240","11.767","False"
"Bt483","6d","","GSE54329","MicroArray","HLA-DRA","3.513","11.762","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","S100A8","4.248","11.753","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","TRNP1","4.099","11.691","True"
"T47D","6d","","GSE54329","MicroArray","CEBPD","1.878","11.665","True"
"Hmec1","","","GSE19082","MicroArray","MYC","0.982","11.578","True"
"Hcc1428","4d","","GSE54329","MicroArray","CEBPD","1.918","11.575","True"
"Macrophage","","","GSE123603","RNASeq","SOCS3","1.929","11.471","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","IER3","1.055","11.470","True"
"T47D","6d","","GSE54329","MicroArray","IFITM3","1.846","11.466","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","PLEKHF1","1.053","11.449","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","MT1E","2.198","11.449","False"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","XBP1","1.048","11.401","True"
"T47D","5d","","GSE54329","MicroArray","C3","2.670","11.358","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","S100A7","3.547","11.351","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","CEACAM5","3.545","11.344","True"
"Bt474","4d","","GSE54329","MicroArray","PMP22","1.946","11.343","True"
"Hmec1","","","GSE19082","MicroArray","BCL3","0.961","11.330","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","AKAP12","1.561","11.316","True"
"Zr751","5d","","GSE54329","MicroArray","SERPINA3","2.599","11.314","True"
"Bt474","5d","","GSE54329","MicroArray","SERPINA3","1.921","11.292","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","CELF3","2.099","11.288","False"
"Mda-Mb415","4d","","GSE54329","MicroArray","UBE2C","-2.166","-11.260","False"
"Mda-Mb415","6d","","GSE54329","MicroArray","CFB","3.510","11.234","True"
"Multiple Myeloma","24h","10ng/mL","GSE115558","MicroArray","SOCS3","5.974","11.224","False"
"Hepg2","","","E-MTAB-4570","MicroArray","TGM2","2.481","11.201","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","FOS","-7.131","-11.199","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","NNMT","4.043","11.184","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","LCN2","3.451","11.179","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","IFITM3","3.449","11.171","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","TMEM176B","-2.486","-11.128","False"
"Hcc1428","4d","","GSE54329","MicroArray","S100P","1.842","11.115","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HPX","2.299","11.111","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","MT1X","2.133","11.109","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","IGFBP2","2.467","11.040","False"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","MT1H","2.101","11.037","False"
"Huh7","","","E-MTAB-4570","MicroArray","SERPINA3","2.805","11.031","True"
"Zr751","5d","","GSE54329","MicroArray","PLAAT4","2.530","11.014","True"
"T47D","6d","","GSE54329","MicroArray","IFITM2","1.768","10.981","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","IRF9","2.303","10.949","True"
"Hepg2","","","E-MTAB-4570","MicroArray","FGB","2.424","10.946","True"
"Bt474","5d","","GSE54329","MicroArray","CCN2","1.861","10.937","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","BLNK","2.032","10.931","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","ID1","2.298","10.926","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","CCL8","5.051","10.909","True"
"Zr751","5d","","GSE54329","MicroArray","HLA-DRB1","2.502","10.892","True"
"Bt474","5d","","GSE54329","MicroArray","HSPA6","1.850","10.876","True"
"Bt483","4d","","GSE54329","MicroArray","CGA","5.966","10.873","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","RNF183","3.812","10.873","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","IFI44L","2.977","10.840","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","CEACAM6","2.977","10.839","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HP","2.394","10.810","True"
"Bt474","4d","","GSE54329","MicroArray","RARRES1","1.849","10.780","True"
"Zr751","5d","","GSE54329","MicroArray","ST6GAL1","2.464","10.723","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","RNF183","3.309","10.718","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","LCN2","3.753","10.707","True"
"Hmec1","","","GSE19082","MicroArray","ID1","0.906","10.681","True"
"Mda-Mb134Vi","4d","","GSE54329","MicroArray","S100A8","2.154","10.673","True"
"T47D","6d","","GSE54329","MicroArray","TFF1","-1.716","-10.659","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","ACTA1","1.471","10.657","True"
"T Cd4","3d","","GSE65621","RNASeq","TNFSF4","-2.044","-10.645","True"
"Bt483","6d","","GSE54329","MicroArray","CEBPD","3.176","10.634","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","TGFBR3","2.233","10.614","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","RNF183","3.246","10.612","True"
"T47D","5d","","GSE54329","MicroArray","IFITM3","2.493","10.607","True"
"Hepg2","","","E-MTAB-4570","MicroArray","SERPING1","2.347","10.598","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","MT1H","2.033","10.590","False"
"T47D","6d","","GSE54329","MicroArray","S100A9","1.704","10.581","True"
"Hcc1428","5d","","GSE54329","MicroArray","AKR1C1","1.900","10.578","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","G6PC","-2.028","-10.566","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","FOXI1","1.964","10.564","False"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","DKK1","1.458","10.563","True"
"Bt474","4d","","GSE54329","MicroArray","S100A8","1.811","10.557","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","IFITM1","3.689","10.524","True"
"Bt483","5d","","GSE54329","MicroArray","HLA-DRA","3.334","10.488","True"
"Bt483","5d","","GSE54329","MicroArray","S100A9","3.330","10.478","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","SGPL1","4.817","10.405","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CFB","3.760","10.402","True"
"Hmec1","","","GSE19082","MicroArray","PIM1","0.881","10.386","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","S100A7","3.205","10.380","True"
"Efm19","6d","","GSE54329","MicroArray","IFITM1","1.624","10.360","True"
"Huh7","","","E-MTAB-4570","MicroArray","VNN3","2.632","10.348","True"
"Mda-Mb134Vi","6d","","GSE54329","MicroArray","S100A9","1.761","10.341","True"
"Mcf7","6d","","GSE54329","MicroArray","BPIFB1","1.720","10.331","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","CFB","3.620","10.325","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","LCN2","3.155","10.314","True"
"Zr751","4d","","GSE54329","MicroArray","CACNA1B","1.760","10.298","True"
"Bt483","4d","","GSE54329","MicroArray","MUCL1","5.642","10.282","False"
"T47D","6d","","GSE54329","MicroArray","SERPINA3","1.654","10.274","True"
"Huh7","","","E-MTAB-4570","MicroArray","CXCL5","2.611","10.267","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","PNMT","4.750","10.259","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","SPRR3","-3.202","-10.248","True"
"Zr751","4d","","GSE54329","MicroArray","TMEM45A","1.749","10.236","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","CEBPD","3.159","10.230","True"
"Bt483","6d","","GSE54329","MicroArray","AKR1B10","3.049","10.209","True"
"Macrophage","","","GSE123603","RNASeq","AQP3","1.714","10.196","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","CCL4","4.714","10.180","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","LOC554206","1.891","10.173","False"
"Bt474","6d","","GSE54329","MicroArray","S100A9","1.933","10.160","True"
"Bt474","5d","","GSE54329","MicroArray","RARRES1","1.728","10.154","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","IFNK","2.788","10.151","True"
"Bt474","4d","","GSE54329","MicroArray","CEBPD","1.741","10.150","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","MUC5B","3.167","10.137","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","C3","3.663","10.135","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","UBE2C","-3.549","-10.122","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","TUBB3","3.548","10.121","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","DDIT4","-0.930","-10.114","True"
"Bt474","4d","","GSE54329","MicroArray","CCN2","1.735","10.113","True"
"Bt474","4d","","GSE54329","MicroArray","TXNIP","-1.735","-10.112","True"
"Zr751","4d","","GSE54329","MicroArray","VTCN1","1.727","10.107","True"
"Zr751","4d","","GSE54329","MicroArray","IGFBP3","1.724","10.085","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","BPIFA1","3.145","10.064","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","DNAJB1","0.924","10.055","True"
"T Cd4","3d","","GSE65621","RNASeq","PRG4","1.931","10.054","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","IL1B","4.650","10.043","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","NFE2","0.922","10.033","True"
"Mda-Mb134Vi","4d","","GSE54329","MicroArray","S100A9","2.023","10.026","True"
"Hep3B","","","E-MTAB-4570","MicroArray","CFH","2.072","10.017","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","MT1F","1.921","10.006","False"
"Zr751","4d","","GSE54329","MicroArray","SPAG4","1.710","10.003","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","APOBEC3B","-1.923","-9.996","False"
"Huh7","","","E-MTAB-4570","MicroArray","HPR","2.541","9.992","True"
"Huh7","","","E-MTAB-4570","MicroArray","SCN7A","2.539","9.983","True"
"Hep3B","","","E-MTAB-4570","MicroArray","PRG4","2.065","9.983","True"
"Bt483","5d","","GSE54329","MicroArray","ERP27","3.171","9.978","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","AHNAK2","2.096","9.963","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","JUNB","1.896","9.963","False"
"Bt474","6d","","GSE54329","MicroArray","RARRES1","1.892","9.946","True"
"Myeloma.Cma03","","","GSE39685","MicroArray","SOCS3","2.236","9.945","False"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","ADM","0.913","9.927","True"
"Bt474","5d","","GSE54329","MicroArray","MAP1B","1.685","9.906","True"
"Bt483","6d","","GSE54329","MicroArray","MUCL1","2.958","9.902","True"
"Zr751","4d","","GSE54329","MicroArray","ST6GAL1","1.692","9.902","True"
"Zr751","5d","","GSE54329","MicroArray","ERP27","2.264","9.853","True"
"T47D","5d","","GSE54329","MicroArray","IFITM2","2.315","9.848","True"
"Ovarian Cancer","","","GSE20272","MicroArray","IFI6","-1.831","-9.845","True"
"T47D","5d","","GSE54329","MicroArray","SERPINA3","2.314","9.842","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","ASPM","-3.449","-9.839","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","IRS2","-2.064","-9.813","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","G6PC","-1.866","-9.805","False"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","PPP1R3C","0.900","9.789","True"
"Bt474","5d","","GSE54329","MicroArray","LCN2","1.659","9.752","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","MT1G","1.875","9.745","False"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","CYP1A1","1.343","9.731","True"
"Hcc1428","4d","","GSE54329","MicroArray","S100A8","1.611","9.719","True"
"Bt483","5d","","GSE54329","MicroArray","AKR1B10","3.077","9.682","True"
"T47D","4d","","GSE54329","MicroArray","C3","3.098","9.681","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","SOCS3","0.546","9.678","False"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","IFITM1","1.754","9.676","True"
"Huh7","","","E-MTAB-4570","MicroArray","CFB","2.458","9.667","True"
"T47D","5d","","GSE54329","MicroArray","HLA-DRA","2.272","9.662","True"
"Hcc1428","6d","","GSE54329","MicroArray","AKR1C1","1.876","9.648","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPL23","-1.371","-9.637","False"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","ICOS","4.454","9.620","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","ZFP36","2.020","9.601","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","ABI3","1.783","9.588","False"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","CEBPD","2.933","9.587","True"
"Huh7","","","E-MTAB-4570","MicroArray","SLC34A2","2.433","9.567","True"
"T47D","6d","","GSE54329","MicroArray","MUCL1","1.539","9.555","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","RFPL1","1.774","9.541","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","CRIP2","2.109","9.442","False"
"Hep3B","","","E-MTAB-4570","MicroArray","HABP2","1.953","9.438","True"
"Hmec1","","","GSE19082","MicroArray","MAP3K8","0.799","9.425","True"
"T47D","6d","","GSE54329","MicroArray","CFB","1.516","9.415","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","CDK1","-3.300","-9.414","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","APOBEC3B","-3.300","-9.413","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","EFNB2","2.099","9.396","False"
"Hepg2","","","E-MTAB-4570","MicroArray","SLC16A6","2.078","9.384","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CEBPD","3.391","9.382","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","MALL","2.094","9.375","False"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","NTSR1","4.337","9.368","True"
"Zr751","5d","","GSE54329","MicroArray","CEBPD","2.150","9.360","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","CFD","-2.087","-9.340","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","TOP2A","-3.270","-9.329","True"
"Hmec1","","","GSE19082","MicroArray","FOS","0.791","9.320","True"
"Zr751","4d","","GSE54329","MicroArray","FOS","1.593","9.317","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SERPING1","1.924","9.300","True"
"Bt474","4d","","GSE54329","MicroArray","MT1F","1.594","9.293","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","CEACAM5","3.255","9.286","True"
"Bt483","5d","","GSE54329","MicroArray","MUCL1","2.949","9.279","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","SLC34A2","2.892","9.257","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","IFITM3","2.828","9.245","True"
"Zr751","4d","","GSE54329","MicroArray","CXCR4","1.579","9.237","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","KRT6A","2.825","9.234","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","C2CD4A","2.848","9.226","True"
"Macrophage","","","GSE123603","RNASeq","HSD11B1","1.549","9.216","True"
"Hmec1","","","GSE19082","MicroArray","DEPP1","0.781","9.208","True"
"Huh7","","","E-MTAB-4570","MicroArray","CD44","2.340","9.201","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SERPINB4","2.525","9.193","True"
"Efm19","4d","","GSE54329","MicroArray","IFITM3","1.284","9.150","True"
"Hcc1428","5d","","GSE54329","MicroArray","S100P","1.643","9.149","True"
"Efm19","6d","","GSE54329","MicroArray","S100A9","1.433","9.143","True"
"Bt474","5d","","GSE54329","MicroArray","DIO3","1.553","9.129","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","FLRT2","2.039","9.126","False"
"Huh7","","","E-MTAB-4570","MicroArray","NNMT","2.314","9.099","True"
"Bt474","4d","","GSE54329","MicroArray","C2CD4A","1.560","9.091","True"
"T47D","4d","","GSE54329","MicroArray","TFF1","-2.907","-9.086","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","PSG4","-2.028","-9.079","False"
"Bt474","6d","","GSE54329","MicroArray","S100A8","1.726","9.072","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","HSD17B2","2.831","9.061","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","PSG5","-2.022","-9.050","False"
